year,month,day,hour,total_consumption,total_solar_production
2018,1,1,0,16884.346,6947.4
2018,1,1,1,16884.942,6947.4
2018,1,1,2,16885.131999999998,6947.4
2018,1,1,3,16885.328,6947.4
2018,1,1,4,16885.543,6947.4
2018,1,1,5,16885.808,6947.4
2018,1,1,6,16886.026,6947.4
2018,1,1,7,16886.285,6947.4
2018,1,1,8,16886.536,6947.6
2018,1,1,9,16886.547,6948.3
2018,1,1,10,16886.729,6949.3
2018,1,1,11,16888.009,6949.9
2018,1,1,12,16888.397,6950.2
2018,1,1,13,16888.854,6950.3
2018,1,1,14,16889.519,6950.3
2018,1,1,15,16891.263,6950.4
2018,1,1,16,16892.296000000002,6950.4
2018,1,1,17,16894.602,6950.4
2018,1,1,18,16895.875,6950.4
2018,1,1,19,16896.738999999998,6950.4
2018,1,1,20,16897.221999999998,6950.4
2018,1,1,21,16897.607,6950.4
2018,1,1,22,16898.27,6950.4
2018,1,1,23,16898.92,6950.4
2018,1,2,0,16899.426,6950.4
2018,1,2,1,16899.53,6950.4
2018,1,2,2,16899.532,6950.4
2018,1,2,3,16900.093999999994,6950.4
2018,1,2,4,16900.332,6950.4
2018,1,2,5,16900.642,6950.4
2018,1,2,6,16900.907,6950.4
2018,1,2,7,16901.069,6950.4
2018,1,2,8,16901.716,6950.4
2018,1,2,9,16903.275,6950.5
2018,1,2,10,16903.68,6950.7
2018,1,2,11,16904.308,6951.1
2018,1,2,12,16904.943,6951.4
2018,1,2,13,16905.203,6951.5
2018,1,2,14,16905.593999999994,6951.6
2018,1,2,15,16906.108,6951.6
2018,1,2,16,16906.707,6951.6
2018,1,2,17,16907.397,6951.6
2018,1,2,18,16908.325,6951.6
2018,1,2,19,16909.866,6951.6
2018,1,2,20,16911.5,6951.6
2018,1,2,21,16912.42,6951.6
2018,1,2,22,16913.393,6951.6
2018,1,2,23,16914.156000000006,6951.6
2018,1,3,0,16914.565,6951.6
2018,1,3,1,16914.834,6951.6
2018,1,3,2,16915.028000000002,6951.6
2018,1,3,3,16915.185,6951.6
2018,1,3,4,16915.499,6951.6
2018,1,3,5,16915.656000000006,6951.6
2018,1,3,6,16915.918999999998,6951.6
2018,1,3,7,16916.182,6951.6
2018,1,3,8,16916.32,6951.7
2018,1,3,9,16916.694,6951.9
2018,1,3,10,16917.707,6951.9
2018,1,3,11,16918.918999999998,6952.0
2018,1,3,12,16919.685,6952.1
2018,1,3,13,16920.249,6952.1
2018,1,3,14,16920.778000000002,6952.2
2018,1,3,15,16921.893,6952.2
2018,1,3,16,16922.873,6952.2
2018,1,3,17,16924.413,6952.2
2018,1,3,18,16925.7,6952.2
2018,1,3,19,16928.423,6952.2
2018,1,3,20,16930.273999999998,6952.2
2018,1,3,21,16931.657,6952.2
2018,1,3,22,16932.737,6952.2
2018,1,3,23,16933.634,6952.2
2018,1,4,0,16933.907,6952.2
2018,1,4,1,16934.137,6952.2
2018,1,4,2,16934.322,6952.2
2018,1,4,3,16934.526,6952.2
2018,1,4,4,16934.76,6952.2
2018,1,4,5,16934.925,6952.2
2018,1,4,6,16935.395,6952.2
2018,1,4,7,16936.134,6952.2
2018,1,4,8,16936.403000000002,6952.3
2018,1,4,9,16936.629,6952.3
2018,1,4,10,16936.901,6952.4
2018,1,4,11,16937.088,6952.5
2018,1,4,12,16937.315,6952.5
2018,1,4,13,16937.588,6952.6
2018,1,4,14,16937.79,6952.7
2018,1,4,15,16938.031000000006,6952.7
2018,1,4,16,16938.32,6952.7
2018,1,4,17,16938.501,6952.7
2018,1,4,18,16938.752,6952.7
2018,1,4,19,16938.924,6952.7
2018,1,4,20,16939.174,6952.7
2018,1,4,21,16939.385,6952.7
2018,1,4,22,16939.589,6952.7
2018,1,4,23,16939.841,6952.7
2018,1,5,0,16940.064,6952.7
2018,1,5,1,16940.231,6952.7
2018,1,5,2,16940.482,6952.7
2018,1,5,3,16940.708,6952.7
2018,1,5,4,16940.901,6952.7
2018,1,5,5,16941.113,6952.7
2018,1,5,6,16941.314,6952.7
2018,1,5,7,16941.585,6952.7
2018,1,5,8,16941.784,6952.8
2018,1,5,9,16941.947,6952.8
2018,1,5,10,16942.031000000006,6953.2
2018,1,5,11,16942.032,6953.6
2018,1,5,12,16942.115,6953.9
2018,1,5,13,16942.133,6954.1
2018,1,5,14,16942.308999999994,6954.3
2018,1,5,15,16942.523999999998,6954.3
2018,1,5,16,16942.694,6954.3
2018,1,5,17,16942.949,6954.3
2018,1,5,18,16943.16,6954.3
2018,1,5,19,16943.463,6954.3
