year,month,day,hour,clouds,temperature,chill,humidity,wind direction,wind speed,visibility,air pressure
2018,1,2,12,0.5,6.78,3.22,83,ZW,5.83,19100.0,1011.45
2018,1,2,13,0.0,6.47,2.93,81,ZZW,5.5,20150.0,1011.17
2018,1,2,14,0.0,6.27,3.03,80,ZZW,4.67,18783.33,1010.33
2018,1,2,15,0.0,6.27,3.28,80,Z,4.17,17116.67,1009.62
2018,1,2,16,0.0,6.63,3.05,82,ZZW,5.83,15150.0,1008.47
2018,1,2,17,0.0,6.45,2.87,87,Z,5.67,13383.33,1007.47
2018,1,2,18,0.0,5.88,1.7,93,Z,6.83,8651.67,1005.55
2018,1,2,19,0.0,5.75,1.65,95,Z,6.5,4578.33,1004.32
2018,1,2,20,0.0,6.77,2.65,94,ZZW,7.33,23750.0,1003.12
2018,1,2,21,0.0,7.65,3.9,94,ZZW,7.0,18783.33,1001.5
2018,1,2,22,0.0,8.28,4.67,95,ZZW,7.17,13816.67,999.87
2018,1,2,23,0.0,8.83,5.65,94,ZZW,6.33,17716.67,997.8
2018,1,3,0,0.0,9.08,5.98,94,Z,6.33,10331.67,994.58
2018,1,3,1,0.0,9.75,5.98,94,Z,8.67,7240.0,990.68
2018,1,3,2,0.0,10.97,,92,ZZW,10.67,6563.33,987.47
2018,1,3,3,0.0,11.43,,78,W,10.5,19215.0,986.47
2018,1,3,4,0.17,10.95,,68,W,9.67,34683.33,986.6
2018,1,3,5,0.0,10.45,,66,WZW,9.67,32950.0,986.83
2018,1,3,6,0.0,8.98,4.1,68,W,9.33,23218.33,986.87
2018,1,3,7,0.0,8.43,4.32,69,W,9.17,21166.67,987.67
2018,1,3,8,0.0,8.18,3.53,74,W,11.17,17350.0,988.68
2018,1,3,9,0.0,8.18,3.43,65,WZW,11.67,17833.33,989.63
2018,1,3,10,0.0,7.87,2.75,65,WZW,13.0,11886.67,990.6
2018,1,3,11,0.0,7.95,2.8,72,WZW,13.33,12491.67,991.45
2018,1,3,12,0.0,8.6,3.63,67,W,13.5,16166.67,992.72
2018,1,3,13,0.0,9.1,4.35,67,W,13.33,18433.33,993.98
2018,1,3,14,0.0,9.3,4.77,65,W,12.67,16166.67,995.3
2018,1,3,15,0.0,9.2,4.67,65,W,12.5,15088.33,996.68
2018,1,3,16,0.0,8.82,4.52,67,W,10.5,13108.33,997.38
2018,1,3,17,0.0,9.3,5.15,64,WZW,10.5,14533.33,997.75
2018,1,3,18,0.0,8.0,3.48,67,W,10.33,9170.0,998.6
2018,1,3,19,0.0,7.75,3.65,81,WZW,8.33,10141.67,999.18
2018,1,3,20,0.0,7.6,3.7,82,WZW,7.5,9313.33,999.45
2018,1,3,21,0.0,7.9,4.37,74,W,6.83,10051.67,999.42
2018,1,3,22,0.0,7.92,3.65,75,WZW,9.17,12066.67,999.37
2018,1,3,23,0.0,7.8,3.95,76,WZW,7.5,11916.67,999.68
2018,1,4,0,0.0,7.77,3.72,76,WZW,8.17,11600.0,999.33
